0 200 80 399 1951 1299 652 100 20 10.0 50 143 1.266.494,400 241.750,000
0 200 80 399 1955 1299 656 100 20 10.0 50 147 1.269.852,000 244.850,000
0 200 77 399 1956 1299 657 100 23 10.0 50 155 1.268.316,400 243.250,000
0 200 78 399 1941 1299 642 100 22 10.0 50 139 1.266.850,400 242.750,000
0 200 81 399 1961 1299 662 100 19 10.0 50 155 1.270.088,400 244.700,000
1 200 71 399 3031 1597 1434 100 29 10.0 50 832 1.453.196,400 334.900,000
1 200 71 399 2976 1597 1379 100 29 10.0 50 783 1.436.004,400 321.250,000
1 200 70 399 3133 1597 1536 100 30 10.0 50 938 1.474.665,200 349.800,000
1 200 74 399 3324 1597 1727 100 26 10.0 50 1126 1.513.965,600 376.800,000
1 200 77 399 2895 1597 1298 100 23 10.0 50 682 1.432.538,000 323.000,000
2 200 71 399 2123 1405 718 100 29 10.0 50 126 1.386.521,200 276.000,000
2 200 75 399 2122 1405 717 100 25 10.0 50 110 1.384.156,800 273.700,000
2 200 74 399 2126 1405 721 100 26 10.0 50 121 1.385.964,400 275.250,000
2 200 75 399 2144 1405 739 100 25 10.0 50 127 1.393.823,600 281.950,000
2 200 77 399 2118 1405 713 100 23 10.0 50 110 1.380.749,200 270.550,000
3 200 75 399 2069 1369 700 100 25 10.0 50 174 1.241.093,600 231.900,000
3 200 72 399 2464 1369 1095 100 27 10.0 50 564 1.330.981,600 296.350,000
3 200 75 399 2313 1369 944 100 25 10.0 50 406 1.292.657,200 267.750,000
3 200 77 399 2207 1369 838 100 23 10.0 50 289 1.281.430,800 263.350,000
3 200 74 399 2083 1369 714 100 26 10.0 50 177 1.252.795,200 242.700,000
4 200 85 399 1825 1239 586 100 15 10.0 50 110 1.254.680,000 228.350,000
4 200 84 399 1843 1239 604 100 16 10.0 50 135 1.254.689,200 227.200,000
4 200 84 399 1823 1239 584 100 16 10.0 50 114 1.247.351,200 221.150,000
4 200 84 399 1824 1239 585 100 16 10.0 50 115 1.248.815,600 222.550,000
4 200 82 399 1819 1239 580 100 18 10.0 50 112 1.241.843,600 215.900,000
5 200 58 399 2515 1763 752 100 42 10.0 50 149 1.580.516,000 255.100,000
5 200 58 399 2520 1763 757 100 42 10.0 50 153 1.586.288,000 260.550,000
5 200 61 399 2471 1763 708 100 39 10.0 50 111 1.564.232,400 241.650,000
5 200 59 399 2524 1763 761 100 41 10.0 50 152 1.582.945,600 256.950,000
5 200 60 399 2501 1763 738 100 40 10.0 50 121 1.577.964,400 253.450,000
6 200 73 399 1931 1362 569 100 27 10.0 50 109 1.350.956,400 221.050,000
6 200 75 399 1946 1362 584 100 25 10.0 50 116 1.355.422,400 224.550,000
6 200 75 399 1987 1362 625 100 25 10.0 50 160 1.375.512,800 242.000,000
6 200 74 399 2000 1362 638 100 26 10.0 50 169 1.375.000,000 240.650,000
6 200 74 399 1932 1362 570 100 26 10.0 50 106 1.351.070,800 221.100,000
7 200 66 399 2651 1754 897 100 34 10.0 50 269 1.593.674,400 276.100,000
7 200 61 399 2641 1754 887 100 39 10.0 50 273 1.601.330,400 284.400,000
7 200 66 399 2606 1754 852 100 34 10.0 50 250 1.586.376,400 271.700,000
7 200 62 399 2595 1754 841 100 38 10.0 50 250 1.577.368,000 263.400,000
7 200 67 399 2660 1754 906 100 33 10.0 50 290 1.602.154,000 284.000,000
8 200 68 399 2163 1386 777 100 32 10.0 50 245 1.378.747,200 249.000,000
8 200 67 399 2049 1386 663 100 33 10.0 50 135 1.353.005,600 230.600,000
8 200 66 399 2063 1386 677 100 34 10.0 50 157 1.353.057,200 229.750,000
8 200 65 399 2096 1386 710 100 35 10.0 50 182 1.366.632,400 241.200,000
8 200 66 399 2032 1386 646 100 34 10.0 50 127 1.347.810,800 226.500,000
9 200 69 399 1807 1262 545 100 31 10.0 50 115 1.142.570,800 184.100,000
9 200 74 399 1797 1262 535 100 26 10.0 50 90 1.143.976,800 186.150,000
9 200 68 399 1795 1262 533 100 32 10.0 50 106 1.140.998,000 183.300,000
9 200 69 399 1781 1262 519 100 31 10.0 50 84 1.138.596,400 181.800,000
9 200 69 399 1794 1262 532 100 31 10.0 50 99 1.142.983,600 185.350,000
