0 0 0 0 0 0 0 0.0 0 0 0 0 0,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 0 0 0 0 0 10.0 50 0 9 0 0,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
9 0 17 35 0 35 0 10.0 50 0 9 0 7.304,000 0,000 0
